Madár_id;Felhasználó;Típus;Központ;Gyûrû;Jelentett faj;Jelentett faj latin;Ivar;Dátum
5851687;Példa Krisztián;Gyûrûzés;Budapest;P105555   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.28
5851688;Példa Krisztián;Gyûrûzés;Budapest;P105556   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Tojó;2019.06.28
5851689;Példa Krisztián;Gyûrûzés;Budapest;P105557   ;Barátposzáta;Sylvia atricapilla;Ismeretlen;2019.06.28
5851691;Példa Krisztián;Gyûrûzés;Budapest;P105558   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Tojó;2019.06.28
5851692;Példa Krisztián;Gyûrûzés;Budapest;P105559   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.28
5851693;Példa Krisztián;Gyûrûzés;Budapest;P105560   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.06.28
5851694;Példa Krisztián;Gyûrûzés;Budapest;P105561   ;Énekes nádiposzáta;Acrocephalus palustris;Ismeretlen;2019.06.28
5851696;Példa Krisztián;Gyûrûzés;Budapest;P105562   ;Énekes nádiposzáta;Acrocephalus palustris;Tojó;2019.06.28
5851698;Példa Krisztián;Gyûrûzés;Budapest;P105563   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Tojó;2019.06.28
5851699;Példa Krisztián;Gyûrûzés;Budapest;P105564   ;Fülemülesitke;Acrocephalus melanopogon;Ismeretlen;2019.06.28
5851700;Példa Krisztián;Gyûrûzés;Budapest;P105565   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Tojó;2019.06.28
5851701;Példa Krisztián;Gyûrûzés;Budapest;P105566   ;Énekes nádiposzáta;Acrocephalus palustris;Ismeretlen;2019.06.28
5851702;Példa Krisztián;Gyûrûzés;Budapest;P105567   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.28
5851703;Példa Krisztián;Gyûrûzés;Budapest;P105568   ;Énekes nádiposzáta;Acrocephalus palustris;Ismeretlen;2019.06.28
5851704;Példa Krisztián;Gyûrûzés;Budapest;P105569   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.28
5851705;Példa Krisztián;Gyûrûzés;Budapest;XB13653   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.06.28
5851706;Példa Krisztián;Gyûrûzés;Budapest;XB13654   ;Nádirigó;Acrocephalus arundinaceus;Tojó;2019.06.28
5851707;Példa Krisztián;Gyûrûzés;Budapest;XB13655   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.06.28
5851709;Példa Krisztián;Gyûrûzés;Budapest;XB13656   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.06.28
